category	author	title	type	collection	year	course
Required	"[{:family=>""Veizer"", :given=>""J.""}, {:family=>""Godderis"", :given=>""Y.""}, {:family=>""Francois"", :given=>""L.M.""}]"	Evidence for Decoupling of Atmospheric CO2 and Global Climate during the Phanerozoic Eon	article-journal	Nature	2000	1018
Required	"[{:family=>""Kump"", :given=>""L.R.""}]"	What Drives Climate?	article-journal	Nature	2000	1018
Required	"[{:family=>""Rothman"", :given=>""D.H.""}]"	Atmospheric Carbon Dioxide Levels for the Last 500 million Years	article-journal	Proceedings of the National Academy of Sciences 99	2002	1018
Required	"[{:family=>""Berner"", :given=>""R.A.""}]"	The Rise of Plants and their Effect on Weathering and Atmospheric CO2	article-journal	Science	1997	1018
Required	"[{:family=>""Royer"", :given=>""D.L.""}, {:family=>""Bemer"", :given=>""R.A.""}, {:family=>""Beerling"", :given=>""D.J.""}]"	Phanerozoic Atmospheric CO2 Change: Evaluating Geochemical and Paleobiological Approaches	article-journal	Earth-Science Reviews	2001	1018
Required	"[{:family=>""Crowley"", :given=>""T.J.""}]"	Carbon Dioxide and Phanerozoic Climate	chapter	Warm Climates in Earth History	2000	1018
Required	"[{:family=>""Raymo"", :given=>""M.E.""}, {:family=>""Ruddiman"", :given=>""W.F.""}]"	Tectonic Forcing of Late Cenozoic Climate	article-journal	Nature	1992	1018
Required	"[{:family=>""Edmond"", :given=>""J.M.""}]"	Himalayan Tectonics	article-journal	Science	1992	1018
Required	"[{:family=>""Sarmiento"", :given=>""Jorge L.""}, {:family=>""Gruber"", :given=>""Nicolas""}]"	Sinks for Anthropogenic Carbon				1018
Required	"[{:family=>""Asher"", :given=>""William""}, {:family=>""Wanninkhof"", :given=>""Rik""}]"	Transient Tracers and Air-Sea Gas Transfer	article-journal	J Geophys Res	1998	1018
Required	"[{:family=>""Sigman"", :given=>""Daniel""}, {:family=>""Boyle"", :given=>""Edward""}]"	Glacial/interglacial Variations in Atmospheric Carbon Dioxide	article-journal	Nature	2000	1018
Required	"[{:family=>""Boyd"", :given=>""Philip W.""}]"	Ranking Geo-engineering Schemes	article-journal	Nature Geoscience	2008	1018
Optional	"[{:family=>""Houghton"", :given=>""J.T.""}, {:others=>true}]"	Climate Change 1994: Radiative Forcing of Climate Change			1995	1018
Optional	"[{:family=>""Schlesinger"", :given=>""W.T.""}]"	Biogeochemistry - An Analysis of Global Change			1991	1018
Optional	"[{:family=>""Ruddiman"", :given=>""W.L.""}]"	Earth’s Climate Past and Future			2000	1018
Optional	"[{:family=>""Watson"", :given=>""R.""}]"	T.			2002	1018
Optional	"[{:family=>""Press"", :given=>""F.""}, {:family=>""Siever"", :given=>""R.""}]"	Earth			1982	1018
Optional	"[{:family=>""Imbrie"", :given=>""J.""}, {:family=>""Imbrie"", :given=>""K.P.""}]"	Ice Ages: Solving the Mystery			2005	1018
Optional	"[{:family=>""Wilson"", :given=>""R.C.L.""}, {:family=>""Drury"", :given=>""S.A.""}, {:family=>""Chapman"", :given=>""J.A.""}]"	The Great Ice Age: Climate Change and Life			1999	1018
Optional	"[{:family=>""Crowley"", :given=>""T.J.""}, {:family=>""North"", :given=>""G.R.""}]"	Paleoclimatology			1995	1018
Optional	"[{:family=>""Peixoto"", :given=>""J.P.""}, {:family=>""Oort"", :given=>""A.H.""}]"	Physics of Climate			1992	1018
Optional	"[{:family=>""Grove"", :given=>""J.M.""}]"	The Little Ice Age			1988	1018
Optional	"[{:family=>""Henderson-Sellers"", :given=>""A.""}, {:family=>""McGuffie"", :given=>""K.""}]"	A Climate Modelling Primer			2005	1018
Optional	"[{:family=>""Graedel"", :given=>""T.E.""}, {:family=>""Crutzen"", :given=>""P.""}]"	Atmospheric Change: An Earth System Perspective	book		1993	1018
Optional	"[{:family=>""Cronin"", :given=>""T.M.""}]"	Principles of Paleoclimatology	book		1999	1018
Optional	"[{:family=>""Kump"", :given=>""L.R.J.F.Kasting""}, {:family=>""Crane"", :given=>""R.G.""}]"	The Earth System			2003	1018
Optional	"[{:family=>""Bradley"", :given=>""R.S.Paleoclimatology""}]"	Reconstructing Climates of the Quaternary			1999	1018
Optional	"[{:family=>""Catling"", :given=>""D.C.""}, {:family=>""Zahnle"", :given=>""K.J.""}, {:family=>""McKay"", :given=>""C.P.""}]"	Biogenic Methane	article-journal	Science	2001	1018
Optional	"[{:family=>""Holland"", :given=>""H.D.""}]"	When did the Earth’s Atmosphere become Oxic? A Reply	article-journal	Geochem News	1999-07	1018
Optional	"[{:family=>""Holland"", :given=>""H.D.""}, {:family=>""Lazar"", :given=>""B.""}, {:family=>""McCaffrey"", :given=>""M.""}]"	Evolution of the Atmosphere and Oceans	article-journal	Nature	1986	1018
Optional	"[{:family=>""Kasting"", :given=>""J.F.""}, {:family=>""Eggler"", :given=>""D.H.""}, {:family=>""Raeburn"", :given=>""S.P.""}]"	Mantle Redox Evolution and the Oxidation State of the Archean Atmosphere	article-journal	J Geol	1993	1018
Optional	"[{:family=>""Kump"", :given=>""L.R.""}, {:family=>""Holland"", :given=>""H.D.""}]"	Iron in Precambrian Rocks: Implications for the Global Oxygen Budget of the Ancient Earth	article-journal	Geochim Cosmochim Acta	1992	1018
Optional	"[{:family=>""Christie-Blick"", :given=>""N.""}]"	Pre-Pleistocene Glaciation on Earth: Implications for Climatic History of Mars	article-journal	Icarus	1982	1018
Optional	"[{:family=>""Crowell"", :given=>""J.""}]"	Gondwana Glaciation	article-journal	Am J Sci	1978	1018
Optional	"[{:family=>""Edmond"", :given=>""J.M.""}, {:family=>""Palmer"", :given=>""M.R.""}, {:family=>""Measures"", :given=>""C.I.""}, {:family=>""Grant"", :given=>""B.""}, {:family=>""Stallard"", :given=>""R.F.""}]"	The Fluvial Geochemistry and Denudation of the Guyana Shield in Venezuela	article-journal	Geochimica et Cosmochimica Acta	1995	1018
Optional	"[{:family=>""Evans"", :given=>""D.""}, {:family=>""Beukes"", :given=>""N.""}, {:family=>""Kirschvink"", :given=>""J.""}]"	Low-latitude Glaciation in the Palaeoproterozoic Era	article-journal	Nature	1997	1018
Optional	"[{:family=>""Frakes"", :given=>""L.""}]"	Climates Throughout Geologic Time			1979	1018
Optional	"[{:family=>""Frakes"", :given=>""L.A.""}, {:family=>""Francis"", :given=>""J.E.""}, {:family=>""Syktus"", :given=>""J.I.""}]"	Climate Modes of the Phanerozoic			1992	1018
Optional	"[{:family=>""Hambray"", :given=>""M.""}, {:family=>""Harland"", :given=>""W.""}]"	Earth’s Pre-Pleistocene Glacial Record			1981	1018
Optional	"[{:family=>""Hoffman"", :given=>""P.F.""}, {:family=>""Schrag"", :given=>""D.P.""}]"	Snowball Earth	article-journal	Sci Am	2000-01	1018
Optional	"[{:family=>""Hoffman"", :given=>""P.F.""}, {:family=>""Kaufman"", :given=>""A.J.""}, {:family=>""Halverson"", :given=>""G.P.""}, {:family=>""Schrag"", :given=>""D.P.""}]"	A Neoproterozoic Snowball Earth	article-journal	Science	1988	1018
Optional	"[{:family=>""Meert"", :given=>""J.""}, {:family=>""Voo"", :given=>""R."", :particle=>""van der""}]"	The Neoproterozoic (1000-540 Ma) Glacial Intervals: No More Snowball Earth?	article-journal	Earth Planet Sci Lett	1994	1018
Optional	"[{:family=>""Retallack"", :given=>""G.J.""}]"	A 300-million-year Record of Atmospheric Carbon Dioxide from Fossil Plant Cuticles	article-journal	Nature	2001	1018
Optional	"[{:family=>""Royer"", :given=>""D.L.""}, {:family=>""Wing"", :given=>""S.L.""}, {:family=>""Beerling"", :given=>""D.J.""}, {:family=>""Jolley"", :given=>""D.W.""}, {:family=>""Koch"", :given=>""P.L.""}, {:family=>""Hickey"", :given=>""L.J.""}, {:family=>""Berner"", :given=>""R.A.""}]"	Paleobotanical Evidence for Near Present-day Levels of Atmospheric CO2 during Part of the Tertiary	article-journal	Science	2001	1018
Optional	"[{:family=>""Tarner"", :given=>""L.H.""}, {:family=>""Hubert"", :given=>""J.F.""}, {:family=>""Coffey"", :given=>""B.P.""}, {:family=>""McInerney"", :given=>""D.P.""}]"	Stability of Atmospheric CO2 Levels Across the Triassic/Jurassic Boundary	article-journal	Nature	2001	1018
Optional	"[{:family=>""Pagani"", :given=>""M.""}, {:family=>""Arthur"", :given=>""M.A.""}, {:family=>""Freeman"", :given=>""K.H.""}]"	Miocene Evolution of Atmospheric Carbon Dioxide	article-journal	Paleoceanography	1999	1018
Optional	"[{:family=>""Berner"", :given=>""R.A.""}]"	Atmospheric Carbon Dioxide Levels over Phanerozoic Time	article-journal	Science	1990	1018
Optional	"[{:family=>""Berner"", :given=>""R.A.""}]"	Paleo-CO2 and Climate	article-journal	Nature	1992	1018
Optional	"[{:family=>""Freeman"", :given=>""K.H.""}, {:family=>""Hayes"", :given=>""J.M.""}]"	Fractionation of Carbon Isotopes by Ancient Phytoplankton and Estimates of Ancient CO2 Levels	article-journal	Glob Biogeochem Cycles	1992	1018
Optional	"[{:family=>""Hayes"", :given=>""J.M.""}, {:family=>""Strauss"", :given=>""H.""}, {:family=>""Kaufman"", :given=>""A.J.""}]"	The Abundance of 13 C in Marine Organic Matter and Isotopic Fractionation in the Global Biogeochemical Cycle of Carbon during the Past 800 Ma	article-journal	Chem Geol	1999	1018
Optional	"[{:family=>""Popp"", :given=>""B.N.""}, {:family=>""Takigiku"", :given=>""R.""}, {:family=>""Hayes"", :given=>""J.M.""}, {:family=>""Louda"", :given=>""J.W.""}, {:family=>""Baker"", :given=>""E.W.""}]"	The Post-Paleozoic Chronology and Mechanisms of 13C Depletion in Primary Marine Organic Matter	article-journal	Am J Sci	1989	1018
Optional	"[{:family=>""McCauley"", :given=>""S.""}, {:family=>""DePaolo"", :given=>""D.""}]"	The Marine 87Sr/86Sr and δ18O Records	chapter	Tectonic Uplift and Climate Change	1997	1018
Optional	"[{:family=>""Richter"", :given=>""F.M.""}, {:family=>""Rowley"", :given=>""D.B.""}, {:family=>""DePaolo"", :given=>""D.J.""}]"	Sr Isotope Evolution of Seawater: the Role of Tectonics	article-journal	Earth Planet Sci Lett	1992	1018
Optional	"[{:family=>""Shackleton"", :given=>""N.J.""}]"	The Carbon Isotope Record of the Ceozoic: History of Organic Carbon Burial and of Oxygen in the Ocean and Atmosphere	chapter	Marine Petroleum Source Rocks	1987	1018
Required	"[{:family=>""Arulampalam"", :given=>""M.Sanjeev""}, {:family=>""Maskell"", :given=>""Simon""}, {:others=>true}]"	A Tutorial on Particle Filters for Online Nonlinear/Non-Gaussian Bayesian Tracking	article-journal	IEEE Transactions on Speech and Audio Processing	2002	1024
Required	"[{:family=>""Besag"", :given=>""Julian""}]"	Markov Chain Monte Carlo for Statistical Inference.” Center for Statistics and the Social Sciences	article-journal	Working paper	2001	1024
Required	"[{:family=>""Brooks"", :given=>""S.""}]"	Markov Chain Monte Carlo Method and its Application	article-journal	The Statistician	1998	1024
Required	"[{:family=>""Do"", :given=>""Chuong B.""}, {:family=>""Batzoglou"", :given=>""Serafim""}]"	What is the Expectation Maximization Algorithm?	article-journal	Nature Biotechnology	2008	1024
Required	"[{:family=>""Elsner"", :given=>""James B.""}, {:family=>""Niu"", :given=>""Xufeng""}, {:others=>true}]"	Detecting Shifts in Hurricane Rates Using a Markov Chain Monte Carlo Approach	article-journal	Journal of Climate	2004	1024
Required	"[{:family=>""Emanuel"", :given=>""K.""}, {:family=>""Ravela"", :given=>""S.""}, {:others=>true}]"	A Statistical Deterministic Approach to Hurricane Risk Assessment	article-journal	Bulletin of the American Meteorological Society	2006	1024
Required	"[{:family=>""Evensen"", :given=>""G.""}]"	The Ensemble Kalman Filter: Theoretical Formulation and Practical Implementation	article-journal	Ocean Dynamics	2003	1024
Required	"[{:family=>""Evensen"", :given=>""G.""}]"	Sampling Strategies and Square Root Analysis Schemes for the EnKF	article-journal	Ocean Dynamics	2004	1024
Required	"[{:family=>""Evensen"", :given=>""G.""}, {:family=>""Leeuwen"", :given=>""P.J."", :particle=>""van""}]"	An Ensemble Kalman Smoother for Nonlinear Dynamics	article-journal	Monthly Weather Review	2000	1024
Required	"[{:family=>""Ferdosi"", :given=>""B.J.""}, {:family=>""Buddelmeijer"", :given=>""H.""}, {:others=>true}]"	Comparison of Density Estimation Methods for Astronomical Datasets	article-journal	Astronomy & Astrophysics	2011	1024
Required	"[{:family=>""Figueiredo"", :given=>""Mario A.T.""}, {:family=>""Jain"", :given=>""Anil K.""}]"	Unsupervised Learning of Finite Mixture Models	article-journal	IEEE Transactions on Pattern Analysis and Machine Intelligence	2002	1024
